"","original","bias","std. error","min. c.i.","max. c.i."
"X12",-0.0452414650448725,-0.0106473173697097,0.0247194546821101,-0.0850231753715943,-0.0317521091831028
"X13",-0.0414039819275763,0.011910975093054,0.0428306096308086,-0.0839475969382349,0.00604848365224148
"X14",-0.0192499236192216,0.017510237508242,0.0326779493572791,-0.0505414273617234,0.0125500215418982
"X15",0.0407494181862955,-0.0108015409786002,0.0588237444765414,-0.0460590091122089,0.0889655027790682
"X16",0.0445247016475097,-0.0350677056272174,0.0332424696383023,0.00097904903358199,0.0481794067601059
"X23",0.0878077048913277,0.0133834350057648,0.00624103411696249,0.0917568209345809,0.0917568209345809
"X24",0.0601755303516961,0.00758876947472809,0.020684875594949,0.0503180522010299,0.0955403924694662
"X25",0.0232970917341201,0.0183701203824358,0.0275356670984976,0.0135985727940086,0.0734178115413243
"X26",-0.0243626841241084,-0.00429564096345628,0.0348833848802091,-0.0793171105232617,0.00217444555444693
"X34",0.0234542413882372,-0.0457988013223526,0.0419732011868934,-0.033073758953592,0.0325009217070191
"X35",0.00217751458399858,0.0226579940064353,0.0404368147367784,-0.0204428828526912,0.06906079237548
"X36",-0.0400965065149305,0.00642087065412838,0.0238635718808455,-0.0667491729563164,-0.0331494150094535
"X45",0.0125042446991396,-0.00594518584481865,0.0336188484657664,-0.0461455092267303,0.0347415129655629
"X46",-0.0753591312850143,-0.0044913962362743,0.0498183969045358,-0.133799508370415,-0.0275042373660462
"X56",-0.0174859935776314,-0.00603680822879525,0.0401873679349673,-0.0603641746670388,0.0200023735447816
